data,ticker,fechamento,quantidade,volume
2024-01-02,DIRR3,21.87,2261400,49415487.0
2024-01-02,DXCO3,7.78,3588600,28146396.0
2024-01-02,ECOR3,9.45,4884700,45593731.0
2024-01-02,EGIE3,44.52,1479200,65866564.0
2024-01-02,ELET3,41.74,3568400,148965883.0
2024-01-02,ELET6,46.28,876500,40562362.0
2024-01-02,EMBR3,22.02,5797500,127847949.0
2024-01-02,ENEV3,13.29,8767600,116819784.0
2024-01-02,ENGI11,52.19,2244300,117377075.0
2024-01-02,EQTL3,35.0,4762600,167275753.0
2024-01-02,EZTC3,17.47,2399000,42907433.0
2024-01-02,FLRY3,17.85,2855400,50863826.0
2024-01-02,GGBR4,23.53,5628000,132593484.0
2024-01-02,GOAU4,10.77,8251800,89301752.0
2024-01-02,GOLL4,8.35,7046500,60117077.0
2024-01-02,HAPV3,4.29,32581000,141302322.0
2024-01-02,HYPE3,35.16,1237300,43617510.0
2024-01-02,IGTI11,23.92,3161800,75676976.0
2024-01-02,IRBR3,41.92,2342700,99899461.0
2024-01-02,ITSA4,10.17,16813400,171447518.0
2024-01-02,ITUB4,33.52,18948200,634523712.0
2024-01-02,JBSS3,25.17,4261800,106982386.0
2024-01-02,JHSF3,5.36,3890100,21075732.0
2024-01-02,KLBN11,21.73,4377100,95680008.0
2024-01-02,LOGG3,20.92,1057100,22432816.0
2024-01-02,LREN3,17.21,16840500,288960019.0
2024-01-02,LWSA3,5.57,11838700,67862248.0
2024-01-02,MGLU3,2.05,115658000,240975954.0
2024-01-02,MRFG3,9.65,4588500,44208300.0
2024-01-02,MRVE3,10.72,10530100,113310394.0
2024-01-02,MULT3,27.87,3083100,85748376.0
2024-01-02,NTCO3,16.69,8391200,139898036.0
2024-01-02,PCAR3,4.19,8148600,33446803.0
2024-01-02,PETR3,39.36,6743900,265306051.0
2024-01-02,PETR4,37.78,24043800,905513838.0
2024-01-02,PETZ3,3.76,16176400,61550496.0
2024-01-02,POMO4,7.32,10328300,74698528.0
2024-01-02,PRIO3,45.35,7566100,347363359.0
2024-01-02,PSSA3,28.56,1002600,28636848.0
2024-01-02,QUAL3,3.23,5489900,18142420.0
2024-01-02,RADL3,29.21,2940000,85600754.0
2024-01-02,RAIL3,22.25,13279700,297381571.0
2024-01-02,RAIZ4,4.08,11094100,44904198.0
2024-01-02,RDOR3,27.74,4877200,135609460.0
2024-01-02,RECV3,20.77,3219700,67819871.0
2024-01-02,RENT3,61.26,7037300,434597687.0
2024-01-02,RRRP3,26.01,4372600,114852751.0
2024-01-02,SANB11,32.05,1714900,54791139.0
2024-01-02,SBSP3,73.63,1690300,124667349.0
2024-01-02,SLCE3,18.35,3022800,55946841.0
2024-01-02,SMFT3,24.83,3244300,80986499.0
2024-01-02,SMTO3,28.48,2062700,59363577.0
2024-01-02,SOMA3,7.16,11990100,86675027.0
2024-01-02,STBP3,9.21,5693600,52417874.0
2024-01-02,SUZB3,55.14,2961200,163431297.0
2024-01-02,TAEE11,38.13,2001500,76556034.0
2024-01-02,TEND3,14.15,2340800,33398577.0
2024-01-02,TIMS3,17.73,11609500,205984606.0
2024-01-02,TOTS3,33.0,2837100,93052546.0
2024-01-02,TRPL4,26.2,2271400,59488636.0
2024-01-02,UGPA3,26.58,4732900,125137122.0
2024-01-02,USIM5,9.13,10367400,94968592.0
2024-01-02,VALE3,77.05,18021800,1394969815.0
2024-01-02,VAMO3,9.41,7235600,69735610.0
2024-01-02,VBBR3,22.97,11710000,267463132.0
2024-01-02,VIVA3,34.02,3947400,134585419.0
2024-01-02,VIVT3,52.62,3085200,162421225.0
2024-01-02,WEGE3,36.57,3991200,146223307.0
2024-01-02,YDUQ3,21.37,2432900,52749716.0
2024-01-03,ABEV3,13.6,17612200,240018103.0
2024-01-03,ALOS3,25.75,5291200,135936437.0
2024-01-03,ALPA4,9.59,4707900,44363046.0
2024-01-03,AMER3,0.9,22747700,20366811.0
2024-01-03,ARZZ3,61.53,1754000,108734074.0
2024-01-03,ASAI3,12.94,6830500,88155875.0
2024-01-03,AURE3,13.43,5616300,75260433.0
2024-01-03,AZUL4,14.21,14705100,210854256.0
2024-01-03,B3SA3,14.13,43928000,621240950.0
2024-01-03,BBAS3,54.81,8148400,446275448.0
2024-01-03,BBDC3,15.1,2979400,45064047.0
2024-01-03,BBDC4,16.75,20470600,344519965.0
2024-01-03,BBSE3,33.74,4581100,154983059.0
2024-01-03,BEEF3,7.23,11318900,82081446.0
2024-01-03,BHIA3,10.96,2340000,25859058.0
2024-01-03,BPAC11,36.54,10161200,373748226.0
2024-01-03,BPAN4,8.28,1142500,9455847.0
2024-01-03,BRAP4,25.44,2057100,52289084.0
2024-01-03,BRFS3,12.6,12394100,158011107.0
2024-01-03,BRKM5,20.5,4236500,86727586.0
2024-01-03,CASH3,7.63,1402500,10765307.0
2024-01-03,CCRO3,13.97,4541200,63131067.0
2024-01-03,CEAB3,7.52,2218000,16689079.0
2024-01-03,CIEL3,4.71,30862400,144396361.0
2024-01-03,CMIG4,11.47,14677600,168069697.0
2024-01-03,CMIN3,7.99,6495600,51667257.0
2024-01-03,COGN3,3.37,19101700,63973723.0
2024-01-03,CPFE3,38.47,1154600,44574856.0
2024-01-03,CPLE3,9.18,6155100,56674935.0
2024-01-03,CPLE6,10.08,14887400,150291829.0
2024-01-03,CRFB3,12.0,3120700,37223279.0
2024-01-03,CSAN3,19.3,3781300,73330058.0
2024-01-03,CSMG3,20.47,965800,19822205.0
2024-01-03,CSNA3,19.58,5513700,107689323.0
