data,ticker,fechamento,quantidade,volume
2021-01-04,ABEV3,15.48,17835200,276850786.0
2021-01-04,ALPA4,41.65,978900,40743195.0
2021-01-04,ALSO3,28.18,1733800,49056047.0
2021-01-04,ARZZ3,68.0,331200,22485147.0
2021-01-04,AZUL4,37.73,8861700,339322551.0
2021-01-04,B3SA3,60.98,8425100,516120390.0
2021-01-04,BBAS3,37.59,13874600,527241192.0
2021-01-04,BBDC3,23.6,4501400,107052610.0
2021-01-04,BBDC4,26.43,39831700,1058007022.0
2021-01-04,BBSE3,29.39,3863400,112896568.0
2021-01-04,BEEF3,10.04,6117700,62080467.0
2021-01-04,BIDI11,96.4,1201400,116861804.0
2021-01-04,BIDI4,32.21,1314000,42947278.0
2021-01-04,BPAC11,91.91,2276700,211426570.0
2021-01-04,BPAN4,9.36,3090600,29460286.0
2021-01-04,BRAP4,66.5,3523400,231794237.0
2021-01-04,BRDT3,21.85,3953500,86650201.0
2021-01-04,BRFS3,21.48,12583500,273259810.0
2021-01-04,BRKM5,23.35,2301700,54091189.0
2021-01-04,BRML3,9.53,15797900,152589386.0
2021-01-04,BTOW3,75.18,2820700,212247701.0
2021-01-04,CASH3,17.06,3850200,64079318.0
2021-01-04,CCRO3,13.27,8016400,106933389.0
2021-01-04,CEAB3,12.79,1030900,13118089.0
2021-01-04,CIEL3,3.9,39605300,155999656.0
2021-01-04,CMIG4,14.14,8828800,126011774.0
2021-01-04,COGN3,4.7,60864100,287742412.0
2021-01-04,CPFE3,31.52,2165500,68464876.0
2021-01-04,CPLE3,68.5,210800,14448778.0
2021-01-04,CPLE6,73.65,825500,61051017.0
2021-01-04,CRFB3,19.15,2207000,42361698.0
2021-01-04,CSAN3,79.24,2075800,162265557.0
2021-01-04,CSMG3,16.33,1514700,24771560.0
2021-01-04,CSNA3,34.17,15190700,512268981.0
2021-01-04,CURY3,10.45,1296800,13592286.0
2021-01-04,CVCB3,20.17,6331400,129099363.0
2021-01-04,CYRE3,28.5,4928200,140783760.0
2021-01-04,DIRR3,13.29,3701600,49564287.0
2021-01-04,ECOR3,13.25,2794300,37096289.0
2021-01-04,EGIE3,43.58,2224300,96876419.0
2021-01-04,ELET3,35.63,4180700,150635195.0
2021-01-04,ELET6,36.2,1457400,53190852.0
2021-01-04,EMBR3,8.37,17114300,146564257.0
2021-01-04,ENBR3,19.56,2749900,53957748.0
2021-01-04,ENEV3,62.53,2685300,166710036.0
2021-01-04,ENGI11,50.6,1645200,84999801.0
2021-01-04,EQTL3,22.75,5360700,122447012.0
2021-01-04,EZTC3,41.7,1483200,62075736.0
2021-01-04,FLRY3,27.0,1593800,42972716.0
2021-01-04,GGBR4,26.04,22156100,567869335.0
2021-01-04,GNDI3,77.26,2706300,209130382.0
2021-01-04,GOAU4,11.8,11587200,135455029.0
2021-01-04,GOLL4,23.96,9646000,233452479.0
2021-01-04,HAPV3,15.04,8468300,127287235.0
2021-01-04,HGTX3,17.02,2180500,37246312.0
2021-01-04,HYPE3,33.13,2604900,87079521.0
2021-01-04,IGTA3,35.46,2365700,84957292.0
2021-01-04,IRBR3,7.89,57265300,461250769.0
2021-01-04,ITSA4,11.55,39137400,452657405.0
2021-01-04,ITUB4,30.9,31347800,974494924.0
2021-01-04,JBSS3,23.41,10914500,257215667.0
2021-01-04,JHSF3,7.44,11932300,89747932.0
2021-01-04,KLBN11,25.94,6077100,158320677.0
2021-01-04,LAME4,25.5,7592000,194624310.0
2021-01-04,LCAM3,28.99,3626400,105526441.0
2021-01-04,LOGG3,33.68,390300,13210909.0
2021-01-04,LREN3,42.21,6902700,293814028.0
2021-01-04,LWSA3,80.64,2119600,170808537.0
2021-01-04,MGLU3,25.2,25706100,648542500.0
2021-01-04,MRFG3,14.3,8144400,117046845.0
2021-01-04,MRVE3,18.73,3917000,73838904.0
2021-01-04,MULT3,22.55,5128700,117236093.0
2021-01-04,NTCO3,51.99,4396100,227656688.0
2021-01-04,PCAR3,75.09,829800,62329465.0
2021-01-04,PETR3,29.5,16486300,483877652.0
2021-01-04,PETR4,28.91,74719700,2153768758.0
2021-01-04,PETZ3,18.58,2170100,40709691.0
2021-01-04,POMO4,2.89,6038000,17416230.0
2021-01-04,PRIO3,74.8,6074500,452000860.0
2021-01-04,PSSA3,47.78,919900,44264359.0
2021-01-04,QUAL3,34.46,2778000,96000724.0
2021-01-04,RADL3,25.03,4321100,108123136.0
2021-01-04,RAIL3,19.15,15041500,290845747.0
2021-01-04,RDOR3,66.0,1352400,90317665.0
2021-01-04,RENT3,67.78,3797800,257426413.0
2021-01-04,RRRP3,36.41,324700,12058264.0
2021-01-04,SANB11,44.41,2415300,107733609.0
2021-01-04,SBSP3,42.56,5274100,227479669.0
2021-01-04,SLCE3,28.51,1244300,34862355.0
2021-01-04,SMLS3,23.25,1593400,37376633.0
2021-01-04,SMTO3,27.25,868400,23752329.0
2021-01-04,SOMA3,13.15,879400,11568960.0
2021-01-04,STBP3,5.48,10703100,57493139.0
2021-01-04,SULA11,42.7,2509000,107871828.0
2021-01-04,SUZB3,58.91,4829100,283158924.0
2021-01-04,TAEE11,33.1,2665400,88188293.0
2021-01-04,TEND3,29.2,1135900,33508063.0
2021-01-04,TIMS3,14.43,3897800,56577011.0
2021-01-04,TOTS3,27.76,5429700,151886277.0
2021-01-04,TRPL4,27.74,2443000,67963466.0
2021-01-04,UGPA3,24.12,5472800,132433820.0
2021-01-04,USIM5,14.94,20687900,313166895.0
2021-01-04,VALE3,91.46,37865500,3429983702.0
2021-01-04,VIVA3,28.43,1053500,29895072.0
2021-01-04,VIVT3,45.94,2791400,128639686.0
2021-01-04,VVAR3,16.17,44372400,726275235.0
2021-01-04,WEGE3,74.62,3609900,271980061.0
2021-01-04,YDUQ3,34.0,2640400,89685867.0
2021-01-05,ABEV3,15.81,37105800,582966335.0
2021-01-05,ALPA4,41.67,956200,39604251.0
2021-01-05,ALSO3,28.17,1971800,54377403.0
2021-01-05,ARZZ3,66.96,308700,20676539.0
2021-01-05,AZUL4,38.2,7883900,297314867.0
2021-01-05,B3SA3,61.1,9934300,606044933.0
2021-01-05,BBAS3,37.2,15954000,591209781.0
2021-01-05,BBDC3,23.47,4725400,110282551.0
2021-01-05,BBDC4,26.25,38931800,1013260103.0
2021-01-05,BBSE3,28.84,4482500,128884853.0
2021-01-05,BEEF3,9.84,13660000,134895254.0
2021-01-05,BIDI11,94.15,1993900,188992699.0
2021-01-05,BIDI4,31.44,1662500,53098759.0
2021-01-05,BPAC11,90.66,3071200,278539149.0
2021-01-05,BPAN4,9.32,2002200,18713231.0
2021-01-05,BRAP4,67.8,2294700,153473828.0
2021-01-05,BRDT3,22.1,12993100,283774604.0
2021-01-05,BRFS3,21.31,6431000,136892974.0
2021-01-05,BRKM5,23.36,2629200,60526060.0
2021-01-05,BRML3,9.72,21482800,206844940.0
2021-01-05,BTOW3,73.5,3881300,285608361.0
2021-01-05,CASH3,17.51,2987200,52877271.0
2021-01-05,CCRO3,13.05,7169000,93598355.0
2021-01-05,CEAB3,12.29,2157200,26602616.0
2021-01-05,CIEL3,3.81,29905400,114308987.0
