data,ticker,fechamento,quantidade,volume
2026-01-02,ABEV3,13.65,24557600,335477351.0
2026-01-02,ALOS3,28.55,7930300,225911543.0
2026-01-02,ALPA4,11.73,9902000,115990378.0
2026-01-02,AMER3,5.02,2671300,13585989.0
2026-01-02,AMOB3,12.93,49800,649641.0
2026-01-02,ASAI3,7.28,7441600,54256004.0
2026-01-02,AURE3,11.63,5718600,66947293.0
2026-01-02,AXIA3,50.0,15064400,755260719.0
2026-01-02,AXIA6,52.48,1142900,60025428.0
2026-01-02,AXIA7,48.0,4610900,222530072.0
2026-01-02,AZZA3,25.39,2443900,61427454.0
2026-01-02,B3SA3,13.43,25030000,337072526.0
2026-01-02,BBAS3,21.68,16077000,350173000.0
2026-01-02,BBDC3,15.64,4535900,71035556.0
2026-01-02,BBDC4,18.22,19380800,354463074.0
2026-01-02,BBSE3,35.74,3505600,126165932.0
2026-01-02,BEEF3,5.37,23036900,125528171.0
2026-01-02,BHIA3,3.1,2600700,8056138.0
2026-01-02,BPAC11,52.19,3901500,204379535.0
2026-01-02,BPAN4,11.21,385500,4330306.0
2026-01-02,BRAP4,20.08,2851300,56958683.0
2026-01-02,BRAV3,16.67,7634200,126012741.0
2026-01-02,BRKM5,7.75,2308800,17883028.0
2026-01-02,CASH3,3.83,2097400,7986947.0
2026-01-02,CEAB3,12.41,7625600,95408159.0
2026-01-02,CMIG4,11.16,12023400,134783991.0
2026-01-02,CMIN3,5.3,8175600,43405492.0
2026-01-02,COGN3,3.13,20341800,63470117.0
2026-01-02,CPFE3,53.76,985000,52855969.0
2026-01-02,CPLE3,12.14,18163600,221344427.0
2026-01-02,CSAN3,5.25,84158900,443325162.0
2026-01-02,CSMG3,43.47,7089600,308658335.0
2026-01-02,CSNA3,8.7,12462400,109187843.0
2026-01-02,CURY3,31.52,3951300,124752711.0
2026-01-02,CVCB3,2.2,19530400,42646435.0
2026-01-02,CXSE3,16.54,7287700,121748134.0
2026-01-02,CYRE3,23.96,5831400,143479237.0
2026-01-02,CYRE4,24.3,343100,8198060.0
2026-01-02,DIRR3,13.63,10710200,146790827.0
2026-01-02,DXCO3,5.02,2467800,12365268.0
2026-01-02,ECOR3,10.51,2466700,25935909.0
2026-01-02,EGIE3,31.13,1236700,38724898.0
2026-01-02,EMBJ3,88.59,2240400,197876442.0
2026-01-02,ENEV3,20.02,4975600,99985209.0
2026-01-02,ENGI11,47.09,1693000,79583550.0
2026-01-02,EQTL3,38.3,5026900,193043304.0
2026-01-02,EZTC3,13.7,5483000,73439107.0
2026-01-02,FLRY3,14.83,2131600,31725630.0
