data,ticker,fechamento,quantidade,volume
2025-01-02,ABEV3,11.6,33417900,388339414.0
2025-01-02,ALOS3,18.12,7506300,135668463.0
2025-01-02,ALPA4,6.32,3906700,24280313.0
2025-01-02,AMER3,5.73,5221200,31248928.0
2025-01-02,AMOB3,0.34,26298700,8936815.0
2025-01-02,ASAI3,5.45,15340600,84118585.0
2025-01-02,AURE3,8.6,7626700,65369474.0
2025-01-02,AZUL4,3.64,18778400,68611445.0
2025-01-02,AZZA3,29.14,2199700,63391790.0
2025-01-02,B3SA3,10.2,29510200,302053949.0
2025-01-02,BBAS3,23.92,14492900,346988222.0
2025-01-02,BBDC3,10.48,11868100,123550940.0
2025-01-02,BBDC4,11.4,31243900,355079164.0
2025-01-02,BBSE3,36.42,3506000,126932884.0
2025-01-02,BEEF3,4.8,14516300,70997617.0
2025-01-02,BHIA3,2.84,2178900,6136563.0
2025-01-02,BPAC11,27.1,6061600,164473971.0
2025-01-02,BPAN4,6.18,1675900,10382774.0
2025-01-02,BRAP4,16.49,2552900,42069715.0
2025-01-02,BRAV3,23.41,12130900,289465767.0
2025-01-02,BRFS3,24.8,6804600,169212284.0
2025-01-02,BRKM5,11.97,3802400,45314497.0
2025-01-02,CASH3,2.7,248500,676396.0
2025-01-02,CCRO3,10.15,8688400,88245640.0
2025-01-02,CEAB3,7.47,7282600,54495408.0
2025-01-02,CMIG4,11.08,14137800,155598618.0
2025-01-02,CMIN3,5.04,10663200,53836804.0
2025-01-02,COGN3,1.08,21450800,23365728.0
2025-01-02,CPFE3,31.42,1490000,46616159.0
2025-01-02,CPLE3,8.24,11360600,92891566.0
2025-01-02,CPLE6,9.09,15042600,136454728.0
2025-01-02,CRFB3,5.52,12502400,68034354.0
2025-01-02,CSAN3,8.02,16226100,130468121.0
2025-01-02,CSMG3,20.53,2719700,55656997.0
2025-01-02,CSNA3,8.42,11807600,100754346.0
2025-01-02,CURY3,17.49,2042600,35553137.0
2025-01-02,CVCB3,1.5,39138900,57816424.0
2025-01-02,CXSE3,14.42,4464900,63863975.0
2025-01-02,CYRE3,16.57,7306700,120931607.0
2025-01-02,DIRR3,26.62,2117700,56065088.0
2025-01-02,DXCO3,5.87,4196000,24766266.0
2025-01-02,ECOR3,4.2,3372300,14083732.0
2025-01-02,EGIE3,35.36,1403300,49567014.0
2025-01-02,ELET3,34.0,10854400,369850183.0
2025-01-02,ELET6,37.83,1803700,68409143.0
2025-01-02,EMBR3,57.8,6475600,372685107.0
