data,ticker,fechamento
2019-01-04,GOAU4,7.37
2019-01-04,GOLL4,25.0
2019-01-04,HAPV3,30.5
2019-01-04,HGTX3,29.43
2019-01-04,HYPE3,31.45
2019-01-04,IGTA3,41.75
2019-01-04,IRBR3,81.4
2019-01-04,ITSA4,12.72
2019-01-04,ITUB4,36.98
2019-01-04,JBSS3,12.55
2019-01-04,JHSF3,1.94
2019-01-04,KLBN11,17.0
2019-01-04,KROT3,9.37
2019-01-04,LAME4,19.41
2019-01-04,LCAM3,38.2
2019-01-04,LOGG3,16.09
2019-01-04,LREN3,41.35
2019-01-04,MGLU3,178.4
2019-01-04,MRFG3,5.68
2019-01-04,MRVE3,12.45
2019-01-04,MULT3,24.59
2019-01-04,NATU3,47.3
2019-01-04,PCAR4,83.0
2019-01-04,PETR3,27.51
2019-01-04,PETR4,24.72
2019-01-04,POMO4,4.3
2019-01-04,PRIO3,104.66
2019-01-04,PSSA3,48.22
2019-01-04,QUAL3,13.48
2019-01-04,RADL3,57.38
2019-01-04,RAIL3,17.2
2019-01-04,RENT3,30.05
2019-01-04,SANB11,47.2
2019-01-04,SBSP3,37.86
2019-01-04,SLCE3,42.78
2019-01-04,SMLS3,43.96
2019-01-04,SMTO3,17.92
2019-01-04,STBP3,4.28
2019-01-04,SULA11,26.12
2019-01-04,SUZB3,37.57
2019-01-04,TAEE11,25.24
2019-01-04,TEND3,33.16
2019-01-04,TIMP3,11.98
2019-01-04,TOTS3,30.12
2019-01-04,TRPL4,73.6
2019-01-04,UGPA3,52.97
2019-01-04,USIM5,10.11
2019-01-04,VALE3,52.19
2019-01-04,VIVT3,41.09
2019-01-04,VIVT4,47.5
2019-01-04,VVAR3,4.27
2019-01-04,WEGE3,18.6
2019-01-07,ABEV3,16.48
2019-01-07,ALPA4,17.36
2019-01-07,ARZZ3,52.53
2019-01-07,AZUL4,35.3
2019-01-07,B3SA3,27.8
2019-01-07,BBAS3,48.48
2019-01-07,BBDC3,36.0
2019-01-07,BBDC4,40.94
2019-01-07,BBSE3,27.93
2019-01-07,BEEF3,5.37
2019-01-07,BIDI4,38.0
2019-01-07,BPAC11,27.4
2019-01-07,BPAN4,1.95
2019-01-07,BRAP4,32.17
2019-01-07,BRDT3,26.85
2019-01-07,BRFS3,21.59
2019-01-07,BRKM5,47.72
2019-01-07,BRML3,13.21
2019-01-07,BTOW3,40.14
2019-01-07,CCRO3,11.9
2019-01-07,CIEL3,10.06
2019-01-07,CMIG4,13.45
2019-01-07,CPFE3,28.28
2019-01-07,CPLE3,29.58
2019-01-07,CPLE6,30.49
2019-01-07,CRFB3,18.85
2019-01-07,CSAN3,35.5
2019-01-07,CSMG3,63.43
2019-01-07,CSNA3,9.77
2019-01-07,CVCB3,60.7
2019-01-07,CYRE3,15.9
2019-01-07,DIRR3,8.2
2019-01-07,ECOR3,9.84
2019-01-07,EGIE3,35.3
2019-01-07,ELET3,29.0
2019-01-07,ELET6,32.5
2019-01-07,EMBR3,21.23
2019-01-07,ENBR3,14.45
2019-01-07,ENEV3,16.98
2019-01-07,ENGI11,38.0
2019-01-07,EQTL3,78.5
2019-01-07,ESTC3,24.71
2019-01-07,EZTC3,25.23
2019-01-07,FLRY3,21.15
2019-01-07,GGBR4,15.54
2019-01-07,GNDI3,29.1
2019-01-07,GOAU4,7.42
2019-01-07,GOLL4,23.9
2019-01-07,HAPV3,30.96
2019-01-07,HGTX3,28.45
2019-01-07,HYPE3,30.95
2019-01-07,IGTA3,41.1
2019-01-07,IRBR3,82.22
2019-01-07,ITSA4,12.71
2019-01-07,ITUB4,37.05
2019-01-07,JBSS3,12.11
