data,ticker,fechamento
2022-01-03,ABEV3,15.33
2022-01-03,ALPA4,34.3
2022-01-03,ALSO3,20.62
2022-01-03,AMER3,31.02
2022-01-03,ARZZ3,72.23
2022-01-03,ASAI3,12.72
2022-01-03,AZUL4,24.42
2022-01-03,B3SA3,10.72
2022-01-03,BBAS3,28.82
2022-01-03,BBDC3,16.55
2022-01-03,BBDC4,19.69
2022-01-03,BBSE3,20.6
2022-01-03,BEEF3,10.44
2022-01-03,BIDI11,28.15
2022-01-03,BIDI4,9.4
2022-01-03,BPAC11,20.18
2022-01-03,BPAN4,10.23
2022-01-03,BRAP4,24.65
2022-01-03,BRFS3,23.22
2022-01-03,BRKM5,56.84
2022-01-03,BRML3,7.99
2022-01-03,CASH3,3.05
2022-01-03,CCRO3,11.44
2022-01-03,CEAB3,5.91
2022-01-03,CIEL3,2.19
2022-01-03,CMIG4,12.88
2022-01-03,CMIN3,7.05
2022-01-03,COGN3,2.39
2022-01-03,CPFE3,25.88
2022-01-03,CPLE3,5.97
2022-01-03,CPLE6,6.43
2022-01-03,CRFB3,14.32
2022-01-03,CSAN3,21.17
2022-01-03,CSMG3,12.16
2022-01-03,CSNA3,24.51
2022-01-03,CURY3,6.67
2022-01-03,CVCB3,12.87
2022-01-03,CXSE3,8.07
2022-01-03,CYRE3,14.52
2022-01-03,DIRR3,12.15
2022-01-03,DXCO3,14.7
2022-01-03,ECOR3,7.13
2022-01-03,EGIE3,38.04
2022-01-03,ELET3,32.63
2022-01-03,ELET6,32.3
2022-01-03,EMBR3,25.24
2022-01-03,ENBR3,20.74
2022-01-03,ENEV3,13.44
2022-01-03,ENGI11,40.38
2022-01-03,EQTL3,22.07
2022-01-03,EZTC3,19.4
2022-01-03,FLRY3,16.92
2022-01-03,GGBR4,27.26
2022-01-03,GNDI3,58.75
2022-01-03,GOAU4,11.29
2022-01-03,GOLL4,16.74
2022-01-03,HAPV3,10.05
2022-01-03,HYPE3,27.45
2022-01-03,IGTI11,17.02
2022-01-03,IRBR3,3.91
2022-01-03,ITSA4,9.02
2022-01-03,ITUB4,21.51
2022-01-03,JBSS3,36.35
2022-01-03,JHSF3,5.21
2022-01-03,KLBN11,25.52
2022-01-03,LAME4,5.86
2022-01-03,LCAM3,22.58
2022-01-03,LOGG3,24.29
2022-01-03,LREN3,23.08
2022-01-03,LWSA3,12.75
2022-01-03,MGLU3,6.72
2022-01-03,MRFG3,21.27
2022-01-03,MRVE3,11.31
2022-01-03,MULT3,17.45
2022-01-03,NTCO3,25.9
2022-01-03,PCAR3,20.85
2022-01-03,PETR3,31.52
2022-01-03,PETR4,29.09
2022-01-03,PETZ3,15.82
2022-01-03,POMO4,2.96
2022-01-03,PRIO3,20.29
2022-01-03,PSSA3,20.08
2022-01-03,QUAL3,16.17
2022-01-03,RADL3,23.25
2022-01-03,RAIL3,17.39
2022-01-03,RAIZ4,6.27
2022-01-03,RDOR3,43.98
2022-01-03,RECV3,17.57
2022-01-03,RENT3,50.89
2022-01-03,RRRP3,34.15
2022-01-03,SANB11,30.74
2022-01-03,SBSP3,39.95
2022-01-03,SLCE3,41.59
2022-01-03,SMFT3,15.84
2022-01-03,SMTO3,33.57
2022-01-03,SOMA3,11.89
2022-01-03,STBP3,6.56
2022-01-03,SULA11,25.78
2022-01-03,SUZB3,59.59
2022-01-03,TAEE11,36.3
2022-01-03,TEND3,15.82
2022-01-03,TIMS3,12.63
2022-01-03,TOTS3,27.5
2022-01-03,TRPL4,24.23
2022-01-03,UGPA3,14.12
2022-01-03,USIM5,14.97
2022-01-03,VALE3,78.0
2022-01-03,VAMO3,11.33
2022-01-03,VBBR3,20.35
2022-01-03,VIIA3,4.98
2022-01-03,VIVA3,24.27
2022-01-03,VIVT3,47.81
2022-01-03,WEGE3,32.02
2022-01-03,YDUQ3,20.0
2022-01-04,ABEV3,15.31
2022-01-04,ALPA4,33.31
2022-01-04,ALSO3,20.28
2022-01-04,AMER3,29.96
2022-01-04,ARZZ3,70.1
2022-01-04,ASAI3,12.72
2022-01-04,AZUL4,24.4
2022-01-04,B3SA3,10.95
2022-01-04,BBAS3,28.85
2022-01-04,BBDC3,16.61
2022-01-04,BBDC4,19.8
2022-01-04,BBSE3,20.55
2022-01-04,BEEF3,10.19
2022-01-04,BIDI11,24.3
2022-01-04,BIDI4,8.18
2022-01-04,BPAC11,19.81
2022-01-04,BPAN4,9.43
2022-01-04,BRAP4,24.88
2022-01-04,BRFS3,22.42
2022-01-04,BRKM5,56.48
2022-01-04,BRML3,7.92
2022-01-04,CASH3,2.89
2022-01-04,CCRO3,11.43
2022-01-04,CEAB3,5.52
2022-01-04,CIEL3,2.12
2022-01-04,CMIG4,12.87
2022-01-04,CMIN3,7.55
2022-01-04,COGN3,2.29
2022-01-04,CPFE3,25.8
2022-01-04,CPLE3,5.9
2022-01-04,CPLE6,6.36
2022-01-04,CRFB3,14.28
2022-01-04,CSAN3,21.3
2022-01-04,CSMG3,12.15
2022-01-04,CSNA3,24.14
2022-01-04,CURY3,6.57
2022-01-04,CVCB3,12.03
2022-01-04,CXSE3,8.01
2022-01-04,CYRE3,14.26
2022-01-04,DIRR3,11.72
2022-01-04,DXCO3,14.41
2022-01-04,ECOR3,7.01
2022-01-04,EGIE3,38.14
2022-01-04,ELET3,31.93
2022-01-04,ELET6,31.39
2022-01-04,EMBR3,25.22
2022-01-04,ENBR3,20.72
2022-01-04,ENEV3,12.91
2022-01-04,ENGI11,40.16
2022-01-04,EQTL3,21.87
2022-01-04,EZTC3,18.76
2022-01-04,FLRY3,16.34
2022-01-04,GGBR4,27.64
2022-01-04,GNDI3,58.41
2022-01-04,GOAU4,11.52
2022-01-04,GOLL4,16.34
2022-01-04,HAPV3,9.91
2022-01-04,HYPE3,27.3
2022-01-04,IGTI11,16.72
2022-01-04,IRBR3,3.8
2022-01-04,ITSA4,9.09
2022-01-04,ITUB4,22.12
2022-01-04,JBSS3,36.24
2022-01-04,JHSF3,4.99
2022-01-04,KLBN11,26.17
2022-01-04,LAME4,5.67
2022-01-04,LCAM3,22.71
2022-01-04,LOGG3,23.8
2022-01-04,LREN3,22.8
2022-01-04,LWSA3,11.89
2022-01-04,MGLU3,6.61
2022-01-04,MRFG3,21.51
2022-01-04,MRVE3,10.95
2022-01-04,MULT3,17.37
2022-01-04,NTCO3,24.23
2022-01-04,PCAR3,20.93
2022-01-04,PETR3,31.92
2022-01-04,PETR4,29.2
2022-01-04,PETZ3,14.41
2022-01-04,POMO4,2.93
2022-01-04,PRIO3,20.72
2022-01-04,PSSA3,19.85
2022-01-04,QUAL3,15.45
2022-01-04,RADL3,23.35
2022-01-04,RAIL3,17.37
2022-01-04,RAIZ4,6.33
2022-01-04,RDOR3,42.9
2022-01-04,RECV3,17.83
2022-01-04,RENT3,51.18
2022-01-04,RRRP3,34.48
2022-01-04,SANB11,31.19
2022-01-04,SBSP3,38.85
2022-01-04,SLCE3,41.11
2022-01-04,SMFT3,15.11
2022-01-04,SMTO3,34.35
2022-01-04,SOMA3,11.53
2022-01-04,STBP3,6.03
2022-01-04,SULA11,24.4
2022-01-04,SUZB3,60.89
2022-01-04,TAEE11,36.6
2022-01-04,TEND3,15.52
2022-01-04,TIMS3,12.82
2022-01-04,TOTS3,26.39
2022-01-04,TRPL4,24.26
2022-01-04,UGPA3,13.59
2022-01-04,USIM5,14.85
2022-01-04,VALE3,77.08
2022-01-04,VAMO3,10.83
2022-01-04,VBBR3,20.23
2022-01-04,VIIA3,4.73
2022-01-04,VIVA3,23.23
2022-01-04,VIVT3,47.81
2022-01-04,WEGE3,31.86
2022-01-04,YDUQ3,19.67
2022-01-05,ABEV3,15.01
2022-01-05,ALPA4,32.03
2022-01-05,ALSO3,19.16
2022-01-05,AMER3,28.62
2022-01-05,ARZZ3,66.73
2022-01-05,ASAI3,11.99
2022-01-05,AZUL4,22.36
2022-01-05,B3SA3,10.72
2022-01-05,BBAS3,28.37
2022-01-05,BBDC3,16.5
2022-01-05,BBDC4,19.66
2022-01-05,BBSE3,20.3
2022-01-05,BEEF3,10.07
2022-01-05,BIDI11,23.0
2022-01-05,BIDI4,7.82
2022-01-05,BPAC11,18.78
2022-01-05,BPAN4,9.46
2022-01-05,BRAP4,24.94
2022-01-05,BRFS3,22.7
2022-01-05,BRKM5,53.77
2022-01-05,BRML3,7.54
2022-01-05,CASH3,2.63
2022-01-05,CCRO3,11.26
2022-01-05,CEAB3,5.33
2022-01-05,CIEL3,2.11
2022-01-05,CMIG4,12.46
2022-01-05,CMIN3,6.96
2022-01-05,COGN3,2.14
2022-01-05,CPFE3,25.39
2022-01-05,CPLE3,5.75
2022-01-05,CPLE6,6.28
2022-01-05,CRFB3,13.96
2022-01-05,CSAN3,20.24
2022-01-05,CSMG3,11.93
2022-01-05,CSNA3,23.44
2022-01-05,CURY3,6.06
2022-01-05,CVCB3,11.19
2022-01-05,CXSE3,7.85
2022-01-05,CYRE3,13.89
2022-01-05,DIRR3,10.93
2022-01-05,DXCO3,13.8
2022-01-05,ECOR3,6.94
2022-01-05,EGIE3,37.6
2022-01-05,ELET3,31.8
2022-01-05,ELET6,31.23
2022-01-05,EMBR3,23.72
2022-01-05,ENBR3,19.82
2022-01-05,ENEV3,12.4
2022-01-05,ENGI11,39.93
2022-01-05,EQTL3,21.58
2022-01-05,EZTC3,17.99
2022-01-05,FLRY3,15.89
2022-01-05,GGBR4,27.18
2022-01-05,GNDI3,55.49
2022-01-05,GOAU4,11.29
2022-01-05,GOLL4,15.23
2022-01-05,HAPV3,9.36
2022-01-05,HYPE3,26.81
2022-01-05,IGTI11,15.42
2022-01-05,IRBR3,3.64
2022-01-05,ITSA4,8.99
2022-01-05,ITUB4,21.7
2022-01-05,JBSS3,36.16
2022-01-05,JHSF3,4.85
2022-01-05,KLBN11,25.68
2022-01-05,LAME4,5.42
2022-01-05,LCAM3,21.89
2022-01-05,LOGG3,23.2
2022-01-05,LREN3,21.69
2022-01-05,LWSA3,10.37
2022-01-05,MGLU3,6.42
2022-01-05,MRFG3,21.34
2022-01-05,MRVE3,10.52
2022-01-05,MULT3,16.68
2022-01-05,NTCO3,23.11
2022-01-05,PCAR3,20.18
2022-01-05,PETR3,30.61
