data,ticker,fechamento
2020-01-02,ABEV3,19.2
2020-01-02,ALPA4,32.58
2020-01-02,ALSO3,50.01
2020-01-02,ARZZ3,63.91
2020-01-02,AZUL4,58.8
2020-01-02,B3SA3,45.11
2020-01-02,BBAS3,53.8
2020-01-02,BBDC3,35.44
2020-01-02,BBDC4,37.51
2020-01-02,BBSE3,38.1
2020-01-02,BEEF3,12.57
2020-01-02,BIDI11,45.9
2020-01-02,BIDI4,15.7
2020-01-02,BPAC11,76.3
2020-01-02,BPAN4,10.88
2020-01-02,BRAP4,38.03
2020-01-02,BRDT3,30.74
2020-01-02,BRFS3,35.88
2020-01-02,BRKM5,30.4
2020-01-02,BRML3,18.22
2020-01-02,BTOW3,65.18
2020-01-02,CCRO3,19.0
2020-01-02,CEAB3,18.1
2020-01-02,CIEL3,8.57
2020-01-02,CMIG4,13.88
2020-01-02,COGN3,12.2
2020-01-02,CPFE3,35.21
2020-01-02,CPLE3,68.15
2020-01-02,CPLE6,68.68
2020-01-02,CRFB3,23.93
2020-01-02,CSAN3,71.71
2020-01-02,CSMG3,67.82
2020-01-02,CSNA3,14.69
2020-01-02,CVCB3,44.71
2020-01-02,CYRE3,31.11
2020-01-02,DIRR3,15.51
2020-01-02,ECOR3,16.3
2020-01-02,EGIE3,52.0
2020-01-02,ELET3,38.18
2020-01-02,ELET6,38.71
2020-01-02,EMBR3,20.2
2020-01-02,ENBR3,21.91
2020-01-02,ENEV3,43.86
2020-01-02,ENGI11,54.23
2020-01-02,EQTL3,23.55
2020-01-02,EZTC3,52.83
2020-01-02,FLRY3,31.02
2020-01-02,GGBR4,20.76
2020-01-02,GNDI3,71.66
2020-01-02,GOAU4,9.68
2020-01-02,GOLL4,37.17
2020-01-02,HAPV3,66.44
2020-01-02,HGTX3,34.56
2020-01-02,HYPE3,36.0
2020-01-02,IGTA3,54.5
2020-01-02,IRBR3,39.89
2020-01-02,ITSA4,14.35
2020-01-02,ITUB4,38.03
2020-01-02,JBSS3,27.2
2020-01-02,JHSF3,7.6
2020-01-02,KLBN11,18.76
2020-01-02,LAME4,26.8
2020-01-02,LCAM3,23.19
2020-01-02,LOGG3,32.35
2020-01-02,LREN3,57.5
2020-01-02,MGLU3,49.33
2020-01-02,MRFG3,10.06
2020-01-02,MRVE3,22.2
2020-01-02,MULT3,33.55
2020-01-02,NTCO3,38.33
2020-01-02,PCAR4,89.8
2020-01-02,PETR3,32.8
2020-01-02,PETR4,30.7
2020-01-02,POMO4,4.53
2020-01-02,PRIO3,35.78
2020-01-02,PSSA3,64.14
2020-01-02,QUAL3,39.2
2020-01-02,RADL3,114.83
2020-01-02,RAIL3,26.4
2020-01-02,RENT3,49.62
2020-01-02,SANB11,50.93
2020-01-02,SBSP3,60.55
2020-01-02,SLCE3,25.99
2020-01-02,SMLS3,39.99
2020-01-02,SMTO3,24.0
2020-01-02,STBP3,8.27
2020-01-02,SULA11,62.33
2020-01-02,SUZB3,40.79
2020-01-02,TAEE11,30.96
2020-01-02,TEND3,31.48
2020-01-02,TIMP3,15.77
2020-01-02,TOTS3,69.15
