data,ticker,fechamento,quantidade,volume
2023-01-02,ABEV3,14.19,14995900,212856851.0
2023-01-02,ALPA4,14.33,2121600,30546360.0
2023-01-02,ALSO3,16.28,1984100,32324678.0
2023-01-02,AMER3,9.03,16237300,148437938.0
2023-01-02,ARZZ3,74.12,1008600,74593680.0
2023-01-02,ASAI3,18.99,4837200,91292958.0
2023-01-02,AURE3,14.48,1018800,14706458.0
2023-01-02,AZUL4,10.3,4640000,48496201.0
2023-01-02,B3SA3,12.25,36463300,448261036.0
2023-01-02,BBAS3,33.26,11778500,393115122.0
2023-01-02,BBDC3,13.19,4974100,65473167.0
2023-01-02,BBDC4,14.75,24748300,365003760.0
2023-01-02,BBSE3,33.39,2509400,83980943.0
2023-01-02,BEEF3,12.7,4190300,53405028.0
2023-01-02,BPAC11,22.58,11596600,261335997.0
2023-01-02,BPAN4,5.74,1783500,10297780.0
2023-01-02,BRAP4,29.78,2540700,75406217.0
2023-01-02,BRFS3,7.96,15978700,123963043.0
2023-01-02,BRKM5,23.22,1345700,31235482.0
2023-01-02,BRML3,8.03,8134100,65504420.0
2023-01-02,CASH3,1.22,55790500,68528589.0
2023-01-02,CCRO3,10.29,4527400,46856613.0
2023-01-02,CEAB3,2.2,1984000,4345622.0
2023-01-02,CIEL3,5.1,13170800,67227245.0
2023-01-02,CMIG4,10.91,6501200,70952866.0
2023-01-02,CMIN3,4.04,4162100,16761511.0
2023-01-02,COGN3,2.05,12941800,26573430.0
2023-01-02,CPFE3,32.19,915500,29538647.0
2023-01-02,CPLE3,6.66,427900,2856376.0
2023-01-02,CPLE6,7.64,5561000,42522439.0
2023-01-02,CRFB3,14.17,1653900,23514731.0
2023-01-02,CSAN3,16.26,8126300,133740611.0
2023-01-02,CSMG3,15.29,989000,15082664.0
2023-01-02,CSNA3,14.72,10686500,157048354.0
2023-01-02,CURY3,11.83,1272700,15124836.0
2023-01-02,CVCB3,4.25,5475700,23420806.0
2023-01-02,CXSE3,8.12,1533100,12457726.0
2023-01-02,CYRE3,12.85,5573000,70652923.0
2023-01-02,DIRR3,15.27,1930400,28939457.0
2023-01-02,DXCO3,6.63,1491800,9803147.0
2023-01-02,ECOR3,4.24,1991300,8494399.0
2023-01-02,EGIE3,37.32,927300,34509892.0
2023-01-02,ELET3,40.59,7446100,301512273.0
2023-01-02,ELET6,42.02,1948800,81394705.0
